iter	Passed	Remaining
758	1083	344
759	1084	342
760	1085	341
761	1087	339
762	1088	338
763	1089	336
764	1091	335
765	1092	333
766	1093	332
767	1094	330
768	1095	329
769	1096	327
770	1097	325
771	1098	324
772	1099	322
773	1100	321
774	1101	319
775	1102	318
776	1104	316
777	1105	315
778	1106	314
779	1107	312
780	1108	310
781	1109	309
782	1110	307
783	1112	306
784	1113	304
785	1114	303
786	1115	301
787	1116	300
788	1117	298
789	1118	297
790	1120	295
791	1121	294
792	1122	293
793	1123	291
794	1124	289
795	1125	288
796	1126	286
797	1127	285
798	1128	283
799	1129	282
800	1130	280
801	1132	279
802	1133	278
803	1134	276
804	1135	275
805	1137	273
806	1138	272
807	1139	270
808	1140	269
809	1141	267
810	1142	266
811	1143	264
812	1144	263
813	1145	261
814	1146	260
815	1147	258
816	1148	257
817	1150	255
818	1151	254
819	1152	252
820	1153	251
821	1154	250
822	1155	248
823	1156	247
824	1157	245
825	1158	244
826	1160	242
827	1161	241
828	1162	239
829	1163	238
830	1165	236
831	1166	235
832	1167	234
833	1168	232
834	1169	231
835	1170	229
836	1171	228
837	1172	226
838	1173	225
839	1174	223
840	1176	222
841	1177	220
842	1178	219
843	1179	217
844	1180	216
845	1181	215
846	1183	213
847	1184	212
848	1185	210
849	1186	209
850	1187	207
851	1188	206
852	1189	205
853	1190	203
854	1192	202
855	1193	200
856	1194	199
857	1196	197
858	1197	196
859	1198	195
860	1200	193
861	1201	192
862	1202	190
863	1203	189
864	1204	188
865	1206	186
866	1207	185
867	1208	183
868	1209	182
869	1211	180
870	1212	179
871	1213	178
872	1214	176
873	1216	175
874	1217	173
875	1218	172
876	1220	171
877	1221	169
878	1223	168
879	1224	167
880	1226	165
881	1227	164
882	1229	162
883	1230	161
884	1231	160
885	1232	158
886	1234	157
887	1235	155
888	1236	154
889	1237	153
890	1239	151
891	1240	150
892	1242	148
893	1243	147
894	1244	146
895	1245	144
896	1247	143
897	1248	141
898	1249	140
899	1250	138
900	1252	137
901	1253	136
902	1254	134
903	1255	133
904	1257	132
905	1258	130
906	1260	129
907	1261	127
908	1262	126
909	1263	124
910	1264	123
911	1266	122
912	1267	120
913	1268	119
914	1269	117
915	1270	116
916	1272	115
917	1273	113
918	1274	112
919	1275	110
920	1277	109
921	1278	108
922	1279	106
923	1280	105
924	1281	103
925	1283	102
926	1284	101
927	1285	99
928	1287	98
929	1288	96
930	1289	95
931	1291	94
932	1292	92
933	1293	91
934	1294	90
935	1295	88
936	1297	87
937	1298	85
938	1299	84
939	1300	83
940	1302	81
941	1303	80
942	1304	78
943	1306	77
944	1307	76
945	1308	74
946	1309	73
947	1310	71
948	1311	70
949	1313	69
950	1314	67
951	1315	66
952	1316	64
953	1318	63
954	1319	62
955	1320	60
956	1322	59
957	1323	58
958	1324	56
959	1325	55
960	1326	53
961	1327	52
962	1329	51
963	1330	49
964	1332	48
965	1333	46
966	1334	45
967	1335	44
968	1337	42
969	1338	41
970	1339	40
971	1340	38
972	1341	37
973	1343	35
974	1344	34
975	1345	33
976	1347	31
977	1348	30
978	1350	28
979	1351	27
980	1352	26
981	1354	24
982	1355	23
983	1356	22
984	1358	20
985	1359	19
986	1361	17
987	1363	16
988	1364	15
989	1365	13
990	1367	12
991	1368	11
992	1369	9
993	1370	8
994	1372	6
995	1373	5
996	1375	4
997	1377	2
998	1379	1
999	1380	0
